77198927 function calls (77187189 primitive calls) in 127.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   930599   37.853    0.000   37.853    0.000 {built-in method builtins.sum}
        1   19.664   19.664  128.838  128.838 1.py:1(<module>)
  5562870   16.782    0.000   57.398    0.000 1.py:41(clean)
 11125866   10.538    0.000   16.393    0.000 __init__.py:272(_compile)
 11125740   10.353    0.000   10.353    0.000 {method 'sub' of 're.Pattern' objects}
  5562870    6.343    0.000   22.500    0.000 __init__.py:178(sub)
 11189177    5.829    0.000    5.829    0.000 {built-in method builtins.isinstance}
        1    4.127    4.127    4.428    4.428 1.py:58(<listcomp>)
  5562984    3.651    0.000   10.878    0.000 __init__.py:225(compile)
   927145    3.555    0.000   60.953    0.000 1.py:68(<listcomp>)
 11126083    2.673    0.000    2.673    0.000 {method 'replace' of 'str' objects}
        2    1.351    0.676    1.351    0.676 {built-in method builtins.input}
  5562873    1.246    0.000    1.246    0.000 {method 'strip' of 'str' objects}
        1    0.963    0.963    1.269    1.269 1.py:67(<listcomp>)
3719078/3718614    0.693    0.000    0.694    0.000 {built-in method builtins.len}
  2539785    0.547    0.000    0.547    0.000 {method 'append' of 'list' objects}
   927156    0.347    0.000    0.347    0.000 {method 'split' of 'str' objects}
    13353    0.245    0.000    0.245    0.000 {built-in method _codecs.utf_8_decode}
   930559    0.200    0.000    0.200    0.000 {method 'values' of 'dict' objects}
        1    0.141    0.141    0.142    0.142 {built-in method _winapi._mimetypes_read_windows_registry}
    18278    0.099    0.000    0.143    0.000 cell.py:74(_get_column_letter)
     1014    0.099    0.000    0.099    0.000 {built-in method nt.stat}
      241    0.046    0.000    0.046    0.000 {built-in method io.open_code}
    13353    0.040    0.000    0.301    0.000 <frozen codecs>:319(decode)
      241    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
     1942    0.022    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.022    0.011    0.293    0.147 cell.py:1(<module>)
 2512/348    0.021    0.000    0.033    0.000 serialisable.py:204(__hash__)
        1    0.020    0.020    4.450    4.450 1.py:51(csv_reader)
      9/8    0.019    0.002    0.022    0.003 {built-in method _imp.create_dynamic}
      245    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
    13353    0.016    0.000    0.261    0.000 utf_8_sig.py:54(_buffer_decode)
 2386/306    0.014    0.000    0.045    0.000 serialisable.py:173(__eq__)
      253    0.014    0.000    0.015    0.000 {method '__exit__' of '_io._IOBase' objects}
    54166    0.012    0.000    0.012    0.000 {built-in method builtins.divmod}
    36145    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
    20741    0.012    0.000    0.012    0.000 {method 'join' of 'str' objects}
      424    0.012    0.000    0.032    0.000 __init__.py:18(__new__)
        1    0.011    0.011    0.156    0.156 1.py:204(<dictcomp>)
     6116    0.011    0.000    0.016    0.000 base.py:38(__set__)
  798/796    0.011    0.000    0.087    0.000 {built-in method builtins.__build_class__}
    54148    0.011    0.000    0.011    0.000 {built-in method builtins.chr}
  858/827    0.010    0.000    0.011    0.000 {built-in method __new__ of type object at 0x00007FFB4B648F90}
   220/71    0.008    0.000    0.023    0.000 _parser.py:507(_parse)
     6325    0.008    0.000    0.008    0.000 {method 'format' of 'str' objects}
   646/55    0.008    0.000    0.038    0.001 serialisable.py:46(from_tree)
      388    0.007    0.000    0.117    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     4370    0.007    0.000    0.011    0.000 strings.py:12(safe_string)
     4576    0.007    0.000    0.014    0.000 serialisable.py:160(__iter__)
       30    0.006    0.000    0.006    0.000 {built-in method nt.listdir}
     4166    0.006    0.000    0.013    0.000 colors.py:105(__iter__)
   447/55    0.005    0.000    0.012    0.000 _compiler.py:37(_compile)
     2850    0.005    0.000    0.014    0.000 base.py:64(__set__)
     2066    0.005    0.000    0.016    0.000 base.py:34(__init__)
    277/5    0.005    0.000    0.833    0.167 <frozen importlib._bootstrap>:1167(_find_and_load)
      241    0.005    0.000    0.144    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     2407    0.005    0.000    0.009    0.000 base.py:18(__init__)
      272    0.004    0.000    0.138    0.001 <frozen importlib._bootstrap>:1056(_find_spec)
      432    0.004    0.000    0.014    0.000 __init__.py:9(__new__)
     7092    0.004    0.000    0.004    0.000 base.py:23(__set__)
     8099    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      482    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     1942    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     1747    0.003    0.000    0.012    0.000 base.py:160(__set__)
     2965    0.003    0.000    0.004    0.000 _parser.py:162(__getitem__)
     6217    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        6    0.003    0.000    0.003    0.000 {built-in method builtins.print}
     3208    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
